"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.08983560945563e-57,1.91509671753997,0.308,0.103,3.48062120754836e-53,"0","TMEM205"
4.13116584906456e-57,0.995165215636006,0.726,0.51,6.88045672161702e-53,"0","COX8A"
3.43928325285066e-56,1.13840973122397,0.638,0.397,5.72812625762278e-52,"0","POMP"
4.94285027092958e-56,2.0362264776792,0.254,0.073,8.23231712623321e-52,"0","WARS"
6.40428179566868e-56,1.42025651448057,0.494,0.249,1.06663313306862e-51,"0","CMTM6"
2.15918625355342e-55,1.63238358563143,0.361,0.14,3.59612470529323e-51,"0","SKAP2"
2.2827520624919e-55,1.25120955160052,0.576,0.323,3.80192356008026e-51,"0","NCF1"
4.42781037426832e-55,1.84120539506212,0.345,0.133,7.37451817834389e-51,"0","NUMB"
1.15424838421737e-54,1.51196667003932,0.43,0.195,1.92240068391402e-50,"0","IFI27L2"
4.82651714530021e-54,1.99895907071851,0.263,0.079,8.0385643054975e-50,"0","CCPG1"
5.5159535431504e-54,2.10517714349857,0.261,0.079,9.18682062611698e-50,"0","LACTB"
5.51780287092863e-54,1.87086373463123,0.304,0.106,9.18990068153164e-50,"0","FAM120A"
6.39335430355415e-54,2.14454259971034,0.257,0.078,1.06481315925694e-49,"0","SCO2"
1.18134675988031e-53,1.06145615265013,0.642,0.401,1.96753302858066e-49,"0","DYNLL1"
2.48561694203548e-53,0.486144876960236,0.993,0.979,4.13979501696009e-49,"0","H3F3B"
2.58742818874226e-53,1.5895293561091,0.358,0.143,4.30936164835024e-49,"0","C20orf27"
3.68580188583539e-53,0.788878870207702,0.813,0.659,6.13870304085884e-49,"0","CD44"
4.64523456038201e-53,1.77136833762094,0.356,0.145,7.73663816031624e-49,"0","PRDX3"
5.5094713519694e-53,1.16362937849943,0.553,0.308,9.17602453670503e-49,"0","CKLF"
5.8797281170787e-53,1.11575403190687,0.633,0.41,9.79268717899457e-49,"0","ATP6V1F"
8.17534772939165e-53,0.810016839640636,0.597,0.306,1.36160416433018e-48,"0","HLA-DMA"
